         n   time, ms     sample       mean        RMS    H1, abs              H1, deg              H2, abs    H3, abs    H5, abs
       556   -37.5000    15.7401    -0.0247    59.2628    59.2185             122.0325               0.0335     0.2495     2.2051
       557   -36.6667    -4.5962    -0.0150    59.2620    59.2180             122.0192               0.0410     0.2475     2.2009
       558   -35.8333   -21.5242    -0.0065    59.2589    59.2145             122.0080               0.0449     0.2552     2.2111
       559   -35.0000   -40.8068     0.0041    59.2516    59.2065             121.9957               0.0465     0.2701     2.2221
       560   -34.1667   -62.7199     0.0118    59.2434    59.1986             121.9886               0.0450     0.2784     2.2172
       561   -33.3333   -77.4135     0.0147    59.2396    59.1949             121.9867               0.0430     0.2789     2.2131
       562   -32.5000   -81.2884     0.0147    59.2396    59.1949             121.9867               0.0430     0.2789     2.2131
       563   -31.6667   -81.0480     0.0147    59.2396    59.1949             121.9867               0.0430     0.2789     2.2131
       564   -30.8333   -79.5631     0.0124    59.2428    59.1981             121.9857               0.0460     0.2815     2.2113
       565   -30.0000   -73.0295     0.0077    59.2486    59.2038             121.9823               0.0502     0.2824     2.2158
       566   -29.1667   -59.1349    -0.0009    59.2571    59.2120             121.9738               0.0540     0.2754     2.2265
       567   -28.3333   -39.0320    -0.0103    59.2633    59.2183             121.9624               0.0543     0.2623     2.2237
       568   -27.5000   -15.8815    -0.0200    59.2658    59.2214             121.9494               0.0509     0.2510     2.2100
       569   -26.6667     4.4547    -0.0274    59.2653    59.2211             121.9394               0.0454     0.2495     2.2068
       570   -25.8333    21.3545    -0.0380    59.2614    59.2167             121.9255               0.0339     0.2591     2.2194
       571   -25.0000    40.6866    -0.0480    59.2545    59.2092             121.9138               0.0209     0.2732     2.2299
       572   -24.1667    62.6775    -0.0557    59.2464    59.2013             121.9067               0.0100     0.2815     2.2250
       573   -23.3333    77.3852    -0.0586    59.2426    59.1976             121.9048               0.0068     0.2819     2.2209
       574   -22.5000    81.1611    -0.0592    59.2418    59.1968             121.9046               0.0067     0.2814     2.2208
       575   -21.6667    81.1894    -0.0457    59.2603    59.2159             121.9040               0.0173     0.3004     2.2026
       576   -20.8333    79.3227    -0.0480    59.2571    59.2127             121.9049               0.0154     0.2978     2.2045
       577   -20.0000    72.9870    -0.0439    59.2622    59.2177             121.9019               0.0165     0.2985     2.2083
       578   -19.1667    59.4885    -0.0247    59.2814    59.2362             121.8828               0.0294     0.2825     2.2325
       579   -18.3333    39.2229    -0.0153    59.2876    59.2425             121.8714               0.0372     0.2694     2.2299
       580   -17.5000    15.9664    -0.0059    59.2901    59.2455             121.8589               0.0427     0.2584     2.2166
       581   -16.6667    -4.3557     0.0041    59.2893    59.2451             121.8452               0.0456     0.2563     2.2121
       582   -15.8333   -21.2908     0.0139    59.2858    59.2411             121.8324               0.0454     0.2650     2.2236
       583   -15.0000   -40.4816     0.0274    59.2765    59.2310             121.8167               0.0422     0.2842     2.2379
       584   -14.1667   -62.6068     0.0321    59.2716    59.2261             121.8123               0.0396     0.2892     2.2349
       585   -13.3333   -77.1872     0.0415    59.2593    59.2144             121.8062               0.0309     0.2907     2.2219
       586   -12.5000   -81.6420     0.0268    59.2795    59.2346             121.8108               0.0503     0.3038     2.2233
       587   -11.6667   -80.7369     0.0398    59.2618    59.2163             121.8113               0.0327     0.2855     2.2406
       588   -10.8333   -79.6479     0.0362    59.2666    59.2211             121.8099               0.0361     0.2894     2.2378
       589   -10.0000   -70.0314     0.1612    59.1156    59.0710             121.9003               0.1705     0.3243     2.1261
       590    -9.1667   -53.3720     0.4013    58.8867    58.8395             122.1417               0.5043     0.6560     1.8168
       591    -8.3333   -34.3651     0.5957    58.7653    58.7115             122.3790               0.7444     0.8925     1.8910
       592    -7.5000   -13.7248     0.6856    58.7427    58.6839             122.5001               0.8263     0.9418     2.0177
       593    -6.6667     3.4648     0.6444    58.7399    58.6814             122.4432               0.8146     0.9620     2.0078
       594    -5.8333    17.9675     0.5032    58.6927    58.6219             122.2571               0.9037     1.1481     2.1917
       595    -5.0000    36.4723     0.3276    58.5771    58.4897             122.0514               1.1296     1.3760     2.3490
       596    -4.1667    55.9388     0.0468    58.2922    58.1997             121.7850               1.5236     1.5784     2.1566
       597    -3.3333    68.5747    -0.3203    57.8307    57.7427             121.5415               1.9672     1.5920     1.6467
       598    -2.5000    72.3507    -0.6874    57.3414    57.2380             121.4205               2.2908     1.3702     1.7042
       599    -1.6667    73.4396    -1.0103    56.9044    56.7814             121.4319               2.4407     0.9967     2.1609
       600    -0.8333    72.7749    -1.2831    56.5386    56.4115             121.5428               2.4329     0.6117     2.2905
       601     0.0000    65.2514    -1.6054    56.1432    56.0235             121.7867               2.2657     0.4705     1.9589
       602     0.8333    51.8447    -1.9239    55.8265    55.7161             122.1242               1.9651     0.8718     1.5722
       603     1.6667    35.1147    -2.0951    55.7124    55.6033             122.3447               1.7446     1.0949     1.6699
       604     2.5000    15.4997    -2.1145    55.7069    55.5973             122.3724               1.7172     1.1067     1.6968
       605     3.3333    -2.3617    -2.0314    55.7019    55.5925             122.2514               1.8157     1.1502     1.6956
       606     4.1667   -18.0311    -1.8956    55.6539    55.5359             122.0621               1.9133     1.3318     1.8829
       607     5.0000   -35.2420    -1.6773    55.5052    55.3726             121.7914               1.9543     1.6122     2.0426
       608     5.8333   -54.1145    -1.3234    55.1319    55.0089             121.4345               1.8628     1.8632     1.7625
       609     6.6667   -66.8494    -0.8927    54.5663    54.4747             121.1282               1.6135     1.8781     1.1753
       610     7.5000   -70.5829    -0.4319    53.9198    53.8423             120.9619               1.2456     1.6044     1.3829
       611     8.3333   -71.4314    -0.0442    53.3699    53.2940             120.9718               0.8748     1.1648     1.9139
       612     9.1667   -70.6960     0.3288    52.8419    52.7871             121.1294               0.4909     0.6374     2.0099
       613    10.0000   -64.1200     0.5751    52.5283    52.4892             121.3259               0.2667     0.4716     1.7281
       614    10.8333   -51.0103     0.6735    52.4304    52.3932             121.4360               0.1946     0.5614     1.6172
       615    11.6667   -34.1247     0.6835    52.4239    52.3864             121.4496               0.1849     0.5756     1.6229
       616    12.5000   -15.2663     0.6193    52.4416    52.4078             121.3531               0.2727     0.5165     1.5333
       617    13.3333     2.0577     0.5607    52.4385    52.4059             121.2624               0.3525     0.5345     1.5277
       618    14.1667    17.2957     0.5327    52.4291    52.3948             121.2209               0.3822     0.5697     1.5655
       619    15.0000    34.6338     0.4561    52.3772    52.3388             121.1195               0.4322     0.6732     1.6253
       620    15.8333    53.4852     0.3539    52.2703    52.2346             121.0095               0.4653     0.7543     1.5367
       621    16.6667    66.4676     0.2661    52.1567    52.1261             120.9434               0.4649     0.7511     1.4212
       622    17.5000    70.5263     0.1900    52.0525    52.0218             120.9146               0.4351     0.6842     1.4392
       623    18.3333    71.5446     0.1111    51.9424    51.9101             120.9166               0.3744     0.5746     1.5507
       624    19.1667    70.6960     0.0245    51.8227    51.7924             120.9538               0.2813     0.4766     1.5929
       625    20.0000    64.1341    -0.0221    51.7645    51.7359             120.9913               0.2197     0.4768     1.5409
       626    20.8333    51.4134    -0.0401    51.7466    51.7183             121.0115               0.1945     0.4962     1.5205
       627    21.6667    34.9167    -0.0483    51.7410    51.7126             121.0228               0.1853     0.5079     1.5249
       628    22.5000    15.6340    -0.0427    51.7427    51.7145             121.0143               0.1882     0.5029     1.5171
       629    23.3333    -1.9516    -0.0256    51.7420    51.7141             120.9875               0.1867     0.5062     1.5140
       630    24.1667   -16.8432     0.0239    51.7253    51.6949             120.9130               0.1633     0.5645     1.5792
       631    25.0000   -33.8278     0.0828    51.6859    51.6521             120.8337               0.1295     0.6459     1.6294
       632    25.8333   -52.9124     0.1329    51.6340    51.6013             120.7789               0.1026     0.6873     1.5880
       633    26.6667   -66.0999     0.1641    51.5938    51.5628             120.7549               0.0854     0.6835     1.5465
       634    27.5000   -70.4839     0.1682    51.5882    51.5571             120.7533               0.0818     0.6792     1.5471
       635    28.3333   -71.6436     0.1594    51.6004    51.5696             120.7531               0.0934     0.6917     1.5347
       636    29.1667   -70.9506     0.1488    51.6150    51.5841             120.7486               0.1083     0.7019     1.5286
       637    30.0000   -64.3887     0.1376    51.6289    51.5977             120.7396               0.1211     0.7015     1.5409
       638    30.8333   -51.6326     0.1117    51.6547    51.6233             120.7105               0.1412     0.6759     1.5706
       639    31.6667   -35.1288     0.0698    51.6827    51.6522             120.6532               0.1621     0.6167     1.5508
       640    32.5000   -15.8462     0.0457    51.6900    51.6607             120.6165               0.1662     0.5923     1.5167
       641    33.3333     1.9657     0.0418    51.6899    51.6607             120.6105               0.1647     0.5923     1.5157
       642    34.1667    16.8361     0.0227    51.6835    51.6534             120.5816               0.1466     0.6121     1.5400
       643    35.0000    33.6934    -0.0165    51.6576    51.6252             120.5286               0.0975     0.6675     1.5768
       644    35.8333    52.8983    -0.0410    51.6325    51.6005             120.5017               0.0630     0.6913     1.5584
       645    36.6667    66.1989    -0.0522    51.6181    51.5867             120.4931               0.0489     0.6914     1.5432
       646    37.5000    70.4698    -0.0545    51.6149    51.5835             120.4921               0.0474     0.6891     1.5433
       647    38.3333    71.5021    -0.0563    51.6124    51.5810             120.4922               0.0476     0.6866     1.5457
       648    39.1667    70.8516    -0.0498    51.6213    51.5899             120.4894               0.0427     0.6932     1.5414
       649    40.0000    64.3604    -0.0404    51.6330    51.6013             120.4819               0.0322     0.6937     1.5513
       650    40.8333    51.6467    -0.0307    51.6427    51.6110             120.4710               0.0193     0.6845     1.5629
       651    41.6667    35.2985    -0.0147    51.6535    51.6221             120.4493               0.0035     0.6621     1.5563
       652    42.5000    16.1078     0.0050    51.6596    51.6291             120.4193               0.0313     0.6414     1.5284
       653    43.3333    -1.7183     0.0147    51.6593    51.6290             120.4041               0.0437     0.6410     1.5253
       654    44.1667   -16.5533     0.0268    51.6554    51.6245             120.3858               0.0559     0.6530     1.5404
       655    45.0000   -33.2550     0.0507    51.6399    51.6074             120.3535               0.0755     0.6868     1.5635
       656    45.8333   -52.4811     0.0686    51.6215    51.5893             120.3336               0.0863     0.7049     1.5504
       657    46.6667   -66.1140     0.0680    51.6223    51.5900             120.3341               0.0862     0.7049     1.5512
       658    47.5000   -70.5405     0.0657    51.6255    51.5933             120.3350               0.0878     0.7072     1.5511
       659    48.3333   -71.5304     0.0704    51.6189    51.5866             120.3351               0.0822     0.7005     1.5576
       660    49.1667   -70.8799     0.0734    51.6149    51.5826             120.3363               0.0780     0.6975     1.5596
       661    50.0000   -64.4877     0.0692    51.6200    51.5876             120.3330               0.0832     0.6977     1.5638
       662    50.8333   -51.7528     0.0642    51.6251    51.5926             120.3274               0.0875     0.6928     1.5699
       663    51.6667   -35.3056     0.0569    51.6301    51.5978             120.3174               0.0897     0.6824     1.5672
       664    52.5000   -16.2138     0.0415    51.6348    51.6032             120.2941               0.0868     0.6668     1.5455
       665    53.3333     1.5203     0.0230    51.6342    51.6031             120.2650               0.0768     0.6671     1.5389
       666    54.1667    16.3411     0.0024    51.6276    51.5954             120.2337               0.0605     0.6886     1.5645
       667    55.0000    33.0429    -0.0247    51.6101    51.5762             120.1969               0.0376     0.7269     1.5911
       668    55.8333    52.3255    -0.0486    51.5857    51.5522             120.1705               0.0273     0.7498     1.5743
       669    56.6667    66.1423    -0.0510    51.5827    51.5493             120.1686               0.0266     0.7497     1.5710
       670    57.5000    70.6253    -0.0445    51.5916    51.5582             120.1713               0.0331     0.7563     1.5711
       671    58.3333    71.6294    -0.0392    51.5989    51.5657             120.1712               0.0405     0.7638     1.5639
       672    59.1667    71.0072    -0.0327    51.6078    51.5745             120.1686               0.0491     0.7702     1.5592
       673    60.0000    64.7705    -0.0156    51.6292    51.5954             120.1551               0.0676     0.7701     1.5762
       674    60.8333    52.1912     0.0071    51.6520    51.6181             120.1298               0.0870     0.7480     1.6041
       675    61.6667    35.7935     0.0277    51.6662    51.6326             120.1018               0.0992     0.7189     1.5971
       676    62.5000    16.2563     0.0339    51.6681    51.6348             120.0924               0.1000     0.7125     1.5883
       677    63.3333    -1.7678     0.0318    51.6682    51.6348             120.0956               0.1011     0.7126     1.5892
       678    64.1667   -16.4755     0.0351    51.6672    51.6337             120.0907               0.0975     0.7157     1.5931
       679    65.0000   -33.0924     0.0418    51.6628    51.6288             120.0815               0.0880     0.7253     1.6001
       680    65.8333   -52.2265     0.0524    51.6521    51.6182             120.0697               0.0742     0.7363     1.5930
       681    66.6667   -65.9302     0.0601    51.6423    51.6088             120.0637               0.0687     0.7369     1.5825
       682    67.5000   -70.4132     0.0654    51.6351    51.6016             120.0616               0.0695     0.7320     1.5822
       683    68.3333   -71.3041     0.0748    51.6220    51.5883             120.0616               0.0787     0.7187     1.5949
       684    69.1667   -70.6678     0.0837    51.6099    51.5762             120.0652               0.0909     0.7093     1.6016
       685    70.0000   -64.2897     0.0919    51.5996    51.5661             120.0717               0.1020     0.7087     1.5937
       686    70.8333   -51.7033     0.0940    51.5975    51.5640             120.0740               0.1040     0.7106     1.5911
       687    71.6667   -35.2985     0.0943    51.5973    51.5638             120.0744               0.1041     0.7110     1.5912
       688    72.5000   -16.1502     0.0969    51.5965    51.5629             120.0784               0.1032     0.7138     1.5949
       689    73.3333     1.6334     0.1016    51.5966    51.5629             120.0858               0.0988     0.7141     1.5969
       690    74.1667    16.3128     0.1005    51.5963    51.5624             120.0841               0.1003     0.7153     1.5983
       691    75.0000    32.8873     0.0940    51.5921    51.5578             120.0752               0.1094     0.7244     1.6051
       692    75.8333    52.0498     0.0825    51.5805    51.5463             120.0625               0.1223     0.7366     1.5978
       693    76.6667    65.7605     0.0666    51.5602    51.5268             120.0500               0.1334     0.7384     1.5757
       694    77.5000    70.0314     0.0418    51.5264    51.4930             120.0400               0.1402     0.7167     1.5742
       695    78.3333    70.9506     0.0136    51.4872    51.4530             120.0400               0.1377     0.6771     1.6125
       696    79.1667    70.3283    -0.0147    51.4484    51.4144             120.0516               0.1260     0.6455     1.6337
       697    80.0000    64.1907    -0.0389    51.4181    51.3848             120.0706               0.1081     0.6428     1.6110
       698    80.8333    51.7528    -0.0572    51.3997    51.3666             120.0910               0.0885     0.6603     1.5879
       699    81.6667    35.5319    -0.0681    51.3921    51.3589             120.1059               0.0738     0.6757     1.5911
       700    82.5000    16.3694    -0.0633    51.3936    51.3606             120.0988               0.0803     0.6709     1.5844
       701    83.3333    -1.5627    -0.0548    51.3933    51.3606             120.0853               0.0899     0.6708     1.5808
       702    84.1667   -16.2775    -0.0465    51.3907    51.3576             120.0727               0.0954     0.6792     1.5907
       703    85.0000   -32.7742    -0.0333    51.3822    51.3482             120.0546               0.0976     0.6979     1.6044
       704    85.8333   -51.8871    -0.0191    51.3679    51.3340             120.0388               0.0934     0.7120     1.5953
       705    86.6667   -65.6756    -0.0085    51.3543    51.3210             120.0305               0.0855     0.7123     1.5806
       706    87.5000   -70.1728     0.0015    51.3405    51.3073             120.0264               0.0739     0.7026     1.5799
       707    88.3333   -71.0637     0.0115    51.3267    51.2932             120.0264               0.0599     0.6885     1.5935
       708    89.1667   -70.4415     0.0209    51.3137    51.2803             120.0302               0.0476     0.6787     1.6006
       709    90.0000   -64.2897     0.0209    51.3137    51.2803             120.0302               0.0476     0.6787     1.6006
       710    90.8333   -51.8518     0.0147    51.3199    51.2865             120.0233               0.0490     0.6727     1.6084
       711    91.6667   -35.5389     0.0047    51.3269    51.2936             120.0096               0.0473     0.6586     1.6055
       712    92.5000   -16.5108    -0.0103    51.3316    51.2991             119.9867               0.0416     0.6431     1.5843
       713    93.3333     1.3576    -0.0218    51.3313    51.2991             119.9685               0.0358     0.6430     1.5792
       714    94.1667    16.0159    -0.0342    51.3274    51.2945             119.9497               0.0282     0.6556     1.5940
       715    95.0000    32.5196    -0.0495    51.3176    51.2837             119.9287               0.0217     0.6772     1.6100
       716    95.8333    51.6679    -0.0654    51.3016    51.2678             119.9109               0.0251     0.6929     1.5999
       717    96.6667    65.6049    -0.0719    51.2933    51.2599             119.9058               0.0276     0.6930     1.5909
       718    97.5000    70.1162    -0.0684    51.2981    51.2647             119.9072               0.0284     0.6965     1.5913
       719    98.3333    71.0637    -0.0636    51.3046    51.2714             119.9072               0.0334     0.7032     1.5850
       720    99.1667    70.4839    -0.0572    51.3135    51.2803             119.9046               0.0426     0.7097     1.5799
       721   100.0000    64.3745    -0.0495    51.3231    51.2896             119.8986               0.0526     0.7100     1.5870
       722   100.8333    51.9720    -0.0404    51.3323    51.2988             119.8884               0.0618     0.7012     1.5986
       723   101.6667    35.8218    -0.0283    51.3407    51.3074             119.8719               0.0694     0.6841     1.5953
       724   102.5000    16.6169    -0.0180    51.3440    51.3112             119.8561               0.0716     0.6734     1.5808
       725   103.3333    -1.4142    -0.0118    51.3438    51.3112             119.8464               0.0699     0.6732     1.5779
       726   104.1667   -16.0936    -0.0041    51.3414    51.3084             119.8347               0.0637     0.6808     1.5869
       727   105.0000   -32.4984     0.0074    51.3341    51.3003             119.8189               0.0502     0.6970     1.5992
       728   105.8333   -51.6467     0.0174    51.3240    51.2904             119.8077               0.0362     0.7072     1.5930
       729   106.6667   -65.5201     0.0239    51.3157    51.2824             119.8026               0.0277     0.7074     1.5840
       730   107.5000   -70.0455     0.0292    51.3085    51.2752             119.8004               0.0241     0.7023     1.5834
       731   108.3333   -71.0072     0.0315    51.3052    51.2719             119.8003               0.0248     0.6990     1.5866
       732   109.1667   -70.5405     0.0274    51.3109    51.2775             119.7987               0.0209     0.7033     1.5833
       733   110.0000   -64.4453     0.0209    51.3190    51.2855             119.7936               0.0132     0.7038     1.5893
       734   110.8333   -51.9720     0.0159    51.3241    51.2905             119.7880               0.0064     0.6991     1.5957
       735   111.6667   -35.6874     0.0097    51.3284    51.2949             119.7796               0.0025     0.6904     1.5940
       736   112.5000   -16.6876     0.0023    51.3308    51.2976             119.7683               0.0128     0.6826     1.5836
       737   113.3333     1.2021    -0.0041    51.3306    51.2977             119.7581               0.0211     0.6821     1.5806
       738   114.1667    15.9664    -0.0062    51.3300    51.2969             119.7550               0.0231     0.6841     1.5831
       739   115.0000    32.3923    -0.0115    51.3266    51.2932             119.7477               0.0262     0.6916     1.5887
       740   115.8333    51.4629    -0.0200    51.3180    51.2847             119.7381               0.0293     0.7005     1.5835
       741   116.6667    65.3786    -0.0295    51.3060    51.2732             119.7306               0.0314     0.7013     1.5704
       742   117.5000    69.9324    -0.0371    51.2956    51.2627             119.7274               0.0317     0.6943     1.5696
       743   118.3333    70.9647    -0.0413    51.2898    51.2569             119.7274               0.0304     0.6885     1.5751
       744   119.1667    70.4556    -0.0424    51.2882    51.2553             119.7278               0.0294     0.6872     1.5760
       745   120.0000    64.4594    -0.0389    51.2927    51.2596             119.7251               0.0340     0.6876     1.5793
       746   120.8333    52.1700    -0.0306    51.3010    51.2679             119.7159               0.0455     0.6802     1.5898
       747   121.6667    36.0481    -0.0212    51.3076    51.2746             119.7030               0.0568     0.6670     1.5873
       748   122.5000    16.9917    -0.0056    51.3128    51.2805             119.6792               0.0708     0.6499     1.5653
       749   123.3333    -1.1101     0.0071    51.3124    51.2806             119.6592               0.0779     0.6487     1.5594
       750   124.1667   -15.7896     0.0197    51.3085    51.2761             119.6398               0.0797     0.6607     1.5743
       751   125.0000   -32.1236     0.0354    51.2987    51.2651             119.6184               0.0761     0.6828     1.5909
       752   125.8333   -51.1942     0.0542    51.2798    51.2464             119.5972               0.0662     0.7025     1.5794
       753   126.6667   -65.3504     0.0613    51.2707    51.2378             119.5915               0.0600     0.7032     1.5696
       754   127.5000   -70.1162     0.0583    51.2748    51.2418             119.5927               0.0638     0.7059     1.5699
       755   128.3333   -71.0779     0.0554    51.2789    51.2460             119.5928               0.0680     0.7101     1.5660
       756   129.1667   -70.5546     0.0548    51.2797    51.2468             119.5925               0.0686     0.7107     1.5655
       757   130.0000   -64.6432     0.0466    51.2900    51.2569             119.5861               0.0743     0.7117     1.5731
       758   130.8333   -52.3750     0.0298    51.3071    51.2738             119.5675               0.0792     0.6966     1.5946
       759   131.6667   -36.1683     0.0097    51.3211    51.2882             119.5402               0.0796     0.6685     1.5899
       760   132.5000   -17.1048    -0.0077    51.3269    51.2947             119.5137               0.0753     0.6494     1.5655
       761   133.3333     0.8627    -0.0218    51.3266    51.2949             119.4914               0.0673     0.6478     1.5584
       762   134.1667    15.6552    -0.0348    51.3226    51.2903             119.4715               0.0555     0.6600     1.5733
       763   135.0000    31.9610    -0.0527    51.3113    51.2778             119.4468               0.0349     0.6854     1.5929
       764   135.8333    50.9962    -0.0722    51.2919    51.2586             119.4249               0.0115     0.7059     1.5818
       765   136.6667    65.2938    -0.0757    51.2874    51.2543             119.4220               0.0075     0.7062     1.5768
       766   137.5000    70.1869    -0.0651    51.3019    51.2687             119.4265               0.0223     0.7161     1.5786
       767   138.3333    71.1344    -0.0580    51.3117    51.2787             119.4267               0.0317     0.7261     1.5694
       768   139.1667    70.6536    -0.0498    51.3230    51.2900             119.4234               0.0406     0.7349     1.5623
       769   140.0000    64.8412    -0.0339    51.3431    51.3096             119.4111               0.0542     0.7368     1.5763
       770   140.8333    52.6791    -0.0127    51.3647    51.3311             119.3876               0.0693     0.7181     1.6038
       771   141.6667    36.6137     0.0109    51.3814    51.3480             119.3556               0.0828     0.6851     1.5993
       772   142.5000    17.5149     0.0327    51.3887    51.3564             119.3225               0.0909     0.6608     1.5688
       773   143.3333    -0.6364     0.0524    51.3884    51.3567             119.2914               0.0926     0.6583     1.5581
       774   144.1667   -15.4007     0.0686    51.3834    51.3510             119.2666               0.0883     0.6736     1.5765
       775   145.0000   -31.6499     0.0884    51.3712    51.3374             119.2394               0.0765     0.7015     1.5984
       776   145.8333   -50.7558     0.1066    51.3531    51.3194             119.2187               0.0608     0.7207     1.5886
       777   146.6667   -65.2655     0.1102    51.3486    51.3151             119.2159               0.0566     0.7210     1.5836
       778   147.5000   -70.3991     0.0984    51.3647    51.3311             119.2210               0.0732     0.7320     1.5860
       779   148.3333   -71.4173     0.0843    51.3843    51.3511             119.2213               0.0915     0.7520     1.5677
       780   149.1667   -70.9082     0.0695    51.4046    51.3713             119.2155               0.1058     0.7676     1.5547
       781   150.0000   -65.0251     0.0536    51.4246    51.3910             119.2033               0.1147     0.7696     1.5683
       782   150.8333   -52.8205     0.0350    51.4436    51.4098             119.1829               0.1169     0.7532     1.5926
       783   151.6667   -36.7198     0.0121    51.4599    51.4264             119.1518               0.1109     0.7210     1.5890
       784   152.5000   -17.7412    -0.0144    51.4689    51.4367             119.1116               0.0962     0.6916     1.5520
       785   153.3333     0.4101    -0.0333    51.4687    51.4371             119.0819               0.0803     0.6894     1.5411
       786   154.1667    15.1815    -0.0530    51.4627    51.4303             119.0518               0.0581     0.7082     1.5631
       787   155.0000    31.4024    -0.0763    51.4484    51.4144             119.0197               0.0276     0.7411     1.5894
       788   155.8333    50.5931    -0.0931    51.4318    51.3979             119.0007               0.0041     0.7586     1.5809
       789   156.6667    65.2796    -0.0937    51.4311    51.3971             119.0002               0.0032     0.7586     1.5801
       790   157.5000    70.4132    -0.0843    51.4440    51.4100             119.0043               0.0159     0.7676     1.5823
       791   158.3333    71.4314    -0.0719    51.4611    51.4275             119.0046               0.0316     0.7851     1.5665
       792   159.1667    70.9930    -0.0578    51.4806    51.4469             118.9992               0.0474     0.7999     1.5536
       793   160.0000    65.1806    -0.0436    51.4984    51.4644             118.9884               0.0600     0.8013     1.5653
       794   160.8333    53.1104    -0.0257    51.5169    51.4826             118.9688               0.0717     0.7851     1.5891
       795   161.6667    37.1582    -0.0030    51.5331    51.4992             118.9382               0.0819     0.7532     1.5862
       796   162.5000    18.0947     0.0212    51.5415    51.5086             118.9017               0.0886     0.7268     1.5526
       797   163.3333    -0.1909     0.0398    51.5413    51.5092             118.8725               0.0890     0.7251     1.5414
       798   164.1667   -15.0259     0.0554    51.5367    51.5039             118.8486               0.0838     0.7402     1.5584
       799   165.0000   -31.3741     0.0669    51.5297    51.4960             118.8328               0.0754     0.7565     1.5717
       800   165.8333   -50.5719     0.0745    51.5221    51.4885             118.8241               0.0666     0.7643     1.5679
       801   166.6667   -65.3362     0.0716    51.5259    51.4921             118.8265               0.0707     0.7642     1.5721
       802   167.5000   -70.4981     0.0675    51.5315    51.4977             118.8283               0.0762     0.7682     1.5731
       803   168.3333   -71.5304     0.0627    51.5380    51.5044             118.8284               0.0806     0.7749     1.5671
       804   169.1667   -71.0779     0.0557    51.5478    51.5141             118.8258               0.0835     0.7821     1.5606
       805   170.0000   -65.1524     0.0504    51.5545    51.5206             118.8218               0.0826     0.7824     1.5649
       806   170.8333   -52.9973     0.0430    51.5620    51.5282             118.8137               0.0772     0.7754     1.5747
       807   171.6667   -37.0875     0.0277    51.5730    51.5394             118.7931               0.0598     0.7537     1.5730
       808   172.5000   -18.1796     0.0094    51.5794    51.5466             118.7656               0.0351     0.7348     1.5476
       809   173.3333     0.0636    -0.0050    51.5793    51.5470             118.7429               0.0151     0.7345     1.5388
       810   174.1667    15.0683    -0.0097    51.5779    51.5455             118.7357               0.0118     0.7392     1.5439
       811   175.0000    31.1973    -0.0183    51.5727    51.5396             118.7239               0.0188     0.7513     1.5538
       812   175.8333    50.2820    -0.0312    51.5601    51.5270             118.7092               0.0370     0.7643     1.5477
       813   176.6667    65.1382    -0.0371    51.5526    51.5199             118.7043               0.0447     0.7644     1.5394
       814   177.5000    70.5546    -0.0312    51.5607    51.5279             118.7069               0.0400     0.7702     1.5410
       815   178.3333    71.6153    -0.0236    51.5713    51.5387             118.7072               0.0416     0.7810     1.5313
       816   179.1667    71.1203    -0.0183    51.5786    51.5460             118.7052               0.0473     0.7864     1.5264
       817   180.0000    65.3645    -0.0106    51.5883    51.5555             118.6995               0.0580     0.7867     1.5324
       818   180.8333    53.4852     0.0050    51.6044    51.5714             118.6825               0.0787     0.7718     1.5533
       819   181.6667    37.5825     0.0227    51.6172    51.5844             118.6588               0.0975     0.7469     1.5518
       820   182.5000    18.6109     0.0442    51.6249    51.5930             118.6264               0.1132     0.7245     1.5221
       821   183.3333     0.2616     0.0630    51.6249    51.5937             118.5968               0.1198     0.7242     1.5100
       822   184.1667   -14.7431     0.0748    51.6215    51.5897             118.5788               0.1182     0.7362     1.5226
       823   185.0000   -30.9781     0.0913    51.6115    51.5786             118.5560               0.1079     0.7595     1.5420
       824   185.8333   -50.0911     0.1114    51.5920    51.5591             118.5332               0.0879     0.7793     1.5332
       825   186.6667   -65.3362     0.1114    51.5920    51.5591             118.5332               0.0879     0.7793     1.5332
       826   187.5000   -70.9082     0.0943    51.6154    51.5822             118.5408               0.1118     0.7965     1.5386
       827   188.3333   -71.9264     0.0778    51.6383    51.6056             118.5415               0.1312     0.8199     1.5181
       828   189.1667   -71.3466     0.0666    51.6538    51.6210             118.5374               0.1396     0.8309     1.5072
       829   190.0000   -65.6756     0.0448    51.6814    51.6480             118.5210               0.1455     0.8314     1.5236
       830   190.8333   -53.3933     0.0283    51.6983    51.6650             118.5032               0.1420     0.8156     1.5459
       831   191.6667   -37.1511     0.0256    51.7002    51.6669             118.4996               0.1400     0.8119     1.5457
       832   192.5000   -17.9675     0.0345    51.6971    51.6634             118.5129               0.1512     0.8212     1.5579
       833   193.3333     0.2970     0.0442    51.6972    51.6630             118.5282               0.1649     0.8222     1.5643
       834   194.1667    15.2451     0.0516    51.6993    51.6655             118.5394               0.1736     0.8155     1.5567
       835   195.0000    31.3882     0.0595    51.7042    51.6708             118.5504               0.1791     0.8043     1.5472
       836   195.8333    50.2962     0.0601    51.7047    51.6714             118.5510               0.1791     0.8036     1.5474
       837   196.6667    64.8130     0.0465    51.6877    51.6551             118.5400               0.1891     0.8056     1.5283
       838   197.5000    70.0031     0.0236    51.6564    51.6239             118.5297               0.2188     0.7858     1.5212
       839   198.3333    71.0072    -0.0018    51.6215    51.5881             118.5287               0.2543     0.7504     1.5533
